server_index:speed_lb:speed_ub:power_const:power_coeff:power_sq:qos_delta:qos_epsilon:speed_init:price_init:apps_set
1:5:100:150:0.3333:3:3:0.001:100:1000:1,
2:7:102:250:0.2:3:3:0.001:102:2000:1,
3:6:99:220:1:3:3:0.001:99:3000:1,2
4:5:105:150:0.6667:3:3:0.001:105:1000:1,2,3
5:7:100:300:0.8:3:3:0.001:100:2000:2,3
6:8:102:350:0.4:3:3:0.001:102:3000:2,3
7:6:100:220:0.4286:3:3:0.001:100:1000:3,
8:7:105:350:0.5:3:3:0.001:105:2000:4,5
9:8:102:400:0.6:3:3:0.001:102:3000:4,5
10:10:105:700:0.4444:3:3:0.001:105:1000:5,
